date,region,city,crime_type,latitude,longitude,severity
2024-01-15,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-01-16,Астана,Астана,Грабёж,51.1694,71.4491,3
2024-01-17,Шымкент,Шымкент,Кража,42.3419,69.5901,2
2024-01-18,Алматы,Алматы,Разбой,43.2220,76.8512,4
2024-01-19,Астана,Астана,Кража,51.1694,71.4491,2
2024-01-20,Карагандинская область,Караганда,Грабёж,49.8014,73.1059,3
2024-01-21,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-01-22,Актюбинская область,Актобе,Кража,50.2833,57.1667,2
2024-01-23,Астана,Астана,Убийство,51.1694,71.4491,5
2024-01-24,Алматы,Алматы,Грабёж,43.2220,76.8512,3
2024-01-25,Шымкент,Шымкент,Кража,42.3419,69.5901,2
2024-01-26,Астана,Астана,Кража,51.1694,71.4491,2
2024-01-27,Алматы,Алматы,Разбой,43.2220,76.8512,4
2024-01-28,Карагандинская область,Караганда,Кража,49.8014,73.1059,2
2024-01-29,Астана,Астана,Грабёж,51.1694,71.4491,3
2024-01-30,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-02-01,Астана,Астана,Кража,51.1694,71.4491,2
2024-02-02,Шымкент,Шымкент,Грабёж,42.3419,69.5901,3
2024-02-03,Алматы,Алматы,Разбой,43.2220,76.8512,4
2024-02-04,Астана,Астана,Кража,51.1694,71.4491,2
2024-02-05,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-02-06,Карагандинская область,Караганда,Грабёж,49.8014,73.1059,3
2024-02-07,Астана,Астана,Убийство,51.1694,71.4491,5
2024-02-08,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-02-09,Астана,Астана,Кража,51.1694,71.4491,2
2024-02-10,Шымкент,Шымкент,Разбой,42.3419,69.5901,4
2024-02-11,Алматы,Алматы,Грабёж,43.2220,76.8512,3
2024-02-12,Астана,Астана,Кража,51.1694,71.4491,2
2024-02-13,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-02-14,Карагандинская область,Караганда,Кража,49.8014,73.1059,2
2024-02-15,Астана,Астана,Грабёж,51.1694,71.4491,3
2024-02-16,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-02-17,Астана,Астана,Кража,51.1694,71.4491,2
2024-02-18,Шымкент,Шымкент,Кража,42.3419,69.5901,2
2024-02-19,Алматы,Алматы,Разбой,43.2220,76.8512,4
2024-02-20,Астана,Астана,Кража,51.1694,71.4491,2
2024-02-21,Алматы,Алматы,Грабёж,43.2220,76.8512,3
2024-02-22,Карагандинская область,Караганда,Кража,49.8014,73.1059,2
2024-02-23,Астана,Астана,Кража,51.1694,71.4491,2
2024-02-24,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-02-25,Астана,Астана,Убийство,51.1694,71.4491,5
2024-02-26,Шымкент,Шымкент,Грабёж,42.3419,69.5901,3
2024-02-27,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-02-28,Астана,Астана,Кража,51.1694,71.4491,2
2024-02-29,Алматы,Алматы,Разбой,43.2220,76.8512,4
2024-03-01,Астана,Астана,Кража,51.1694,71.4491,2
2024-03-02,Карагандинская область,Караганда,Кража,49.8014,73.1059,2
2024-03-03,Алматы,Алматы,Грабёж,43.2220,76.8512,3
2024-03-04,Астана,Астана,Кража,51.1694,71.4491,2
2024-03-05,Шымкент,Шымкент,Кража,42.3419,69.5901,2
2024-03-06,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-03-07,Астана,Астана,Грабёж,51.1694,71.4491,3
2024-03-08,Алматы,Алматы,Разбой,43.2220,76.8512,4
2024-03-09,Карагандинская область,Караганда,Кража,49.8014,73.1059,2
2024-03-10,Астана,Астана,Кража,51.1694,71.4491,2
2024-03-11,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-03-12,Астана,Астана,Убийство,51.1694,71.4491,5
2024-03-13,Шымкент,Шымкент,Грабёж,42.3419,69.5901,3
2024-03-14,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-03-15,Астана,Астана,Кража,51.1694,71.4491,2
2024-03-16,Алматы,Алматы,Разбой,43.2220,76.8512,4
2024-03-17,Карагандинская область,Караганда,Кража,49.8014,73.1059,2
2024-03-18,Астана,Астана,Кража,51.1694,71.4491,2
2024-03-19,Алматы,Алматы,Грабёж,43.2220,76.8512,3
2024-03-20,Шымкент,Шымкент,Кража,42.3419,69.5901,2
2024-03-21,Астана,Астана,Кража,51.1694,71.4491,2
2024-03-22,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-03-23,Карагандинская область,Караганда,Грабёж,49.8014,73.1059,3
2024-03-24,Астана,Астана,Кража,51.1694,71.4491,2
2024-03-25,Алматы,Алматы,Разбой,43.2220,76.8512,4
2024-03-26,Астана,Астана,Убийство,51.1694,71.4491,5
2024-03-27,Шымкент,Шымкент,Кража,42.3419,69.5901,2
2024-03-28,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-03-29,Астана,Астана,Кража,51.1694,71.4491,2
2024-03-30,Алматы,Алматы,Грабёж,43.2220,76.8512,3
2024-04-01,Карагандинская область,Караганда,Кража,49.8014,73.1059,2
2024-04-02,Астана,Астана,Кража,51.1694,71.4491,2
2024-04-03,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-04-04,Шымкент,Шымкент,Разбой,42.3419,69.5901,4
2024-04-05,Астана,Астана,Кража,51.1694,71.4491,2
2024-04-06,Алматы,Алматы,Грабёж,43.2220,76.8512,3
2024-04-07,Карагандинская область,Караганда,Кража,49.8014,73.1059,2
2024-04-08,Астана,Астана,Кража,51.1694,71.4491,2
2024-04-09,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-04-10,Астана,Астана,Убийство,51.1694,71.4491,5
2024-04-11,Шымкент,Шымкент,Кража,42.3419,69.5901,2
2024-04-12,Алматы,Алматы,Разбой,43.2220,76.8512,4
2024-04-13,Астана,Астана,Кража,51.1694,71.4491,2
2024-04-14,Карагандинская область,Караганда,Грабёж,49.8014,73.1059,3
2024-04-15,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-04-16,Астана,Астана,Кража,51.1694,71.4491,2
2024-04-17,Шымкент,Шымкент,Кража,42.3419,69.5901,2
2024-04-18,Алматы,Алматы,Грабёж,43.2220,76.8512,3
2024-04-19,Астана,Астана,Кража,51.1694,71.4491,2
2024-04-20,Карагандинская область,Караганда,Кража,49.8014,73.1059,2
2024-04-21,Алматы,Алматы,Разбой,43.2220,76.8512,4
2024-04-22,Астана,Астана,Кража,51.1694,71.4491,2
2024-04-23,Шымкент,Шымкент,Грабёж,42.3419,69.5901,3
2024-04-24,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-04-25,Астана,Астана,Кража,51.1694,71.4491,2
2024-04-26,Карагандинская область,Караганда,Кража,49.8014,73.1059,2
2024-04-27,Алматы,Алматы,Убийство,43.2220,76.8512,5
2024-04-28,Астана,Астана,Кража,51.1694,71.4491,2
2024-04-29,Шымкент,Шымкент,Разбой,42.3419,69.5901,4
2024-04-30,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-05-01,Астана,Астана,Грабёж,51.1694,71.4491,3
2024-05-02,Карагандинская область,Караганда,Кража,49.8014,73.1059,2
2024-05-03,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-05-04,Астана,Астана,Кража,51.1694,71.4491,2
2024-05-05,Шымкент,Шымкент,Кража,42.3419,69.5901,2
2024-05-06,Алматы,Алматы,Разбой,43.2220,76.8512,4
2024-05-07,Астана,Астана,Кража,51.1694,71.4491,2
2024-05-08,Карагандинская область,Караганда,Грабёж,49.8014,73.1059,3
2024-05-09,Алматы,Алматы,Кража,43.2220,76.8512,2
2024-05-10,Астана,Астана,Убийство,51.1694,71.4491,5
2024-05-11,Шымкент,Шымкент,Кража,42.3419,69.5901,2
2024-05-12,Алматы,Алматы,Грабёж,43.2220,76.8512,3
2024-05-13,Астана,Астана,Кража,51.1694,71.4491,2
2024-05-14,Карагандинская область,Караганда,Кража,49.8014,73.1059,2
2024-05-15,Алматы,Алматы,Кража,43.2220,76.8512,2

